Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement
春锦赛14.txt,Comment_08_009,Comment,,2025-03-23山东,下了,
春锦赛14.txt,Comment_08_011,Comment,,2025-03-23山东,晚上场几点到,
春锦赛14.txt,Post_09,Post,8,2025-03-23,说点什么 86 3 9 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 0322 董志豪决赛下班 吃个欧包（见过章昊版） 168 春锦塞下班合集 lemon_xxx 42 发现 发布 通知 我 ZHZHZH 关注 14 覃海洋0318第一个接到的下班 懂得人都懂 不懂得我也不愿意多说 #覃海洋 #春锦赛,
春锦赛14.txt,Comment_09_001,Comment,哦,2025-03-23广西,海洋加油，你是好样的,
春锦赛14.txt,Comment_09_003,Comment,,2025-03-24湖北,好帅啊！,
春锦赛14.txt,Comment_09_005,Comment,,2025-03-23北京,可爱,
春锦赛14.txt,Comment_09_007,Comment,,2025-03-23广东,哈哈，签的这两张,
春锦赛14.txt,Post_10,Post,8,2025-03-23,说点什么 56 1 4 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 挑战一个人住全运会酒店总统套房 DouBle_61 11 仅自己可见 DouBle_61 赞 仅自己可见 读研日记 DouBle_61 5 仅自己可见 23岁女 成天幻想成为我的博士生导师 DouBle_61 3 仅自己可见 毕业红毯 DouBle_61 1 仅自己可见 九号温泉太赞啦 DouBle_61 2 仅自己可见 六一大宝节 DouBle_61 3 仅自己可见 随手自拍也是决定性瞬间 DouBle_61 5 仅自己可见 200仰 DouBle_61 11 仅自己可见 二十三 DouBle_61 5 仅自己可见 传旗 DouBle_61 4 仅自己可见 每一天都是读书周 DouBle_61 11 仅自己可见 该怎么定义朋友呢 DouBle_61 6 仅自己可见 浅蹭妇女节 DouBle_61 1 仅自己可见 这张照片不会一辈子都在吧 DouBle_61 3 仅自己可见 推给想来中传的人 DouBle_61 30 仅自己可见 中传新年合唱《明天会更好》 DouBle_61 20 仅自己可见 我为祖国来站岗！ DouBle_61 1 仅自己可见 抽象男 DouBle_61 2 仅自己可见 后保研生活 DouBle_61 3 仅自己可见 恭送小韩 DouBle_61 4 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 0322 董志豪决赛下班 吃个欧包（见过章昊版） 168 春锦塞下班合集 lemon_xxx 42 超级无敌温柔的海洋哥！！！ hnyqhxf 71 0322 余依婷决赛下班 吃个欧包（见过章昊版） 99 0323 刘室何预赛下班 吃个欧包（见过章昊版） 30 发现 发布 通知 我 薄荷奶绿全糖去冰 关注 15 0323下班快乐 冬至好的脸你们知道有多萌吗，你根本就，你根本就不清楚，你根本就不知道我跟你说，你完全，你完全就是，这个东西她其实是，你完全 ，你知道吗？啊？我跟你们说你们完全就不清楚，告诉你们其实就是，也就是说，不仅仅是你们所知道的，但也可以就是说，他们的这个，你明白吗？我跟你说她就是，你懂吗？@麻衣呀 #董志豪 #春锦赛 #宇宙第一萌物 #游泳,
春锦赛14.txt,Comment_10_001,Comment,漫於,2025-03-23山东,童志豪,
春锦赛14.txt,Comment_10_003,Comment,momo,2025-03-23上海,孩子没啥表情的时候还挺熟男（？）的,
